순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,46,30,16,0,0.652,0,7승0무3패,1승,18-0-7,12-0-9
2,롯데,48,28,18,2,0.609,2,7승1무2패,3승,13-1-9,15-1-9
2,한화,46,28,18,0,0.609,2,5승0무5패,2패,15-0-10,13-0-8
4,KIA,44,22,22,0,0.500,7,6승0무4패,4승,14-0-11,8-0-11
4,SSG,45,22,22,1,0.500,7,6승0무4패,2승,13-1-11,9-0-11
6,NC,42,20,21,1,0.488,7.5,6승1무3패,1승,3-0-5,17-1-16
7,KT,47,21,23,3,0.477,8,3승1무6패,1패,11-1-12,10-2-11
8,삼성,47,21,25,1,0.457,9,2승0무8패,3패,16-0-12,5-1-13
9,두산,46,19,25,2,0.432,10,4승1무5패,3패,8-2-13,11-0-12
10,키움,49,14,35,0,0.286,17.5,2승0무8패,1패,7-0-17,7-0-18
