순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,원정
1,LG,43,29,14,0,0.674,0,8승0무2패,6승,17-0-5,12-0-9
2,한화,43,27,16,0,0.628,2,7승0무3패,3패,14-0-8,13-0-8
3,롯데,45,25,18,2,0.581,4,5승1무4패,1패,10-1-9,15-1-9
4,삼성,44,21,22,1,0.488,8,2승0무8패,1승,16-0-12,5-1-10
5,SSG,42,20,21,1,0.488,8,5승0무5패,1승,13-1-11,7-0-10
6,NC,39,18,20,1,0.474,8.5,7승1무2패,1패,1-0-4,17-1-16
7,KIA,41,19,22,0,0.463,9,5승0무5패,1승,11-0-11,8-0-11
7,두산,43,19,22,2,0.463,9,6승1무3패,3승,8-2-13,11-0-9
7,KT,44,19,22,3,0.463,9,2승1무7패,1패,11-1-12,8-2-10
10,키움,46,13,33,0,0.283,17.5,1승0무9패,6패,7-0-17,6-0-16
